time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-03T11:56:52.129Z,-19.5898,-69.1855,101.56,5.5,mww,,42,0.078,0.86,us,us6000b8pf,2020-10-10T17:11:11.040Z,"122 km NE of Iquique, Chile",earthquake,5.7,3.2,0.054,33,reviewed,us,us
2020-07-17T05:40:36.300Z,-20.2355,-70.1328,73.56,5.9,mww,,30,0.635,1.18,us,us7000aq5p,2022-03-10T05:28:21.062Z,"3 km SE of Iquique, Chile",earthquake,4.3,1.5,0.08,15,reviewed,us,us
2020-07-15T21:39:40.208Z,7.4645,-81.91,6.59,5.8,mww,,37,1.529,0.63,us,us7000apd0,2021-06-28T15:33:16.939Z,"69 km WSW of Río Grande, Panama",earthquake,4.6,2.9,0.046,45,reviewed,us,us
2020-07-12T22:38:43.832Z,12.0163,-86.3553,159.3,5.4,mww,,34,0.168,0.8,us,us7000amh4,2020-09-19T20:58:14.040Z,"5 km WNW of El Crucero, Nicaragua",earthquake,6.7,3.1,0.043,53,reviewed,us,us
2020-06-07T10:31:19.221Z,-4.038,-76.9635,110,5.4,mww,,77,3.39,0.76,us,us6000a7gb,2020-08-18T17:59:01.040Z,"85 km SW of Alianza Cristiana, Peru",earthquake,7.4,1.9,0.044,49,reviewed,us,us
2020-06-07T05:27:22.792Z,-9.5468,-78.6758,57.16,4.5,mb,,149,6.173,0.74,us,us6000a7ea,2022-03-10T05:21:16.124Z,"33 km WSW of Puerto Casma, Peru",earthquake,10.9,5.8,0.14,15,reviewed,us,us
2020-06-03T07:35:36.466Z,-23.274,-68.4677,112,6.8,mww,,21,1.164,1.13,us,us6000a4yi,2022-03-10T05:19:04.598Z,"48 km SW of San Pedro de Atacama, Chile",earthquake,6.8,1.8,0.046,45,reviewed,us,us
2020-05-31T05:09:38.593Z,-15.3256,-70.7731,186,6.1,mww,,73,2.57,0.77,us,us6000a316,2020-08-15T20:19:55.040Z,"19 km SW of Vilavila, Peru",earthquake,5.1,1.8,0.039,63,reviewed,us,us
2020-05-10T18:04:21.884Z,-22.7558,-68.0677,107.3,5.4,mww,,38,0.22,1.17,us,us70009drp,2020-07-29T22:14:28.040Z,"21 km NE of San Pedro de Atacama, Chile",earthquake,5,3.9,0.048,42,reviewed,us,us
2020-05-08T01:14:20.879Z,-55.5019,-29.3632,11.15,5.4,mww,,43,4.291,1.19,us,us70009c3a,2020-07-29T22:14:17.040Z,"South Sandwich Islands region",earthquake,10,3.2,0.071,19,reviewed,us,us
2020-05-03T00:44:26.369Z,-15.2734,-70.4586,184.17,5.7,mww,,30,2.145,1.27,us,us7000993j,2020-07-18T21:57:14.040Z,"13 km NW of Lampa, Peru",earthquake,8.3,4.4,0.044,50,reviewed,us,us
2020-04-30T22:10:31.558Z,-24.0112,-66.93,164.35,5.4,mww,,32,1.557,0.92,us,us700097y1,2020-07-18T21:57:07.040Z,"66 km WNW of San Antonio de los Cobres, Argentina",earthquake,6.7,4.1,0.054,33,reviewed,us,us
2020-04-30T09:23:12.537Z,-22.6597,-67.9997,108.93,5.3,mww,,29,0.334,1.37,us,us700097g8,2020-07-18T21:57:05.040Z,"34 km NE of San Pedro de Atacama, Chile",earthquake,6.5,3.7,0.058,29,reviewed,us,us
2020-04-29T05:37:16.535Z,-24.2701,-67.0461,149.27,5.4,mww,,39,1.673,1.16,us,us60009ehh,2020-07-18T21:57:02.040Z,"74 km W of San Antonio de los Cobres, Argentina",earthquake,7.9,3.8,0.046,45,reviewed,us,us
2020-04-15T10:59:28.999Z,9.0335,-74.4338,53,5.7,mww,,20,4.162,0.99,us,us70008wpb,2022-03-10T05:12:20.680Z,"13 km NNE of Pinillos, Colombia",earthquake,7.3,1.9,0.04,59,reviewed,us,us
2020-03-30T09:09:05.891Z,0.2895,-77.6885,130.93,5.2,mww,,43,0.764,0.74,us,us70008ikp,2020-06-13T18:44:34.040Z,"30 km ESE of Pimampiro, Ecuador",earthquake,6.4,4.7,0.041,56,reviewed,us,us
2020-03-26T20:24:54.588Z,-56.6059,-26.8921,78.32,5.4,mww,,54,5.936,0.74,us,us70008gqs,2020-06-13T18:44:36.040Z,"South Sandwich Islands region",earthquake,7.1,5,0.086,13,reviewed,us,us
2020-03-17T08:12:03.636Z,-36.1555,-73.1685,33.03,5.6,mww,,35,1.473,0.97,us,us60008gzt,2022-03-10T05:08:32.695Z,"54 km NNW of Tomé, Chile",earthquake,3.4,2.9,0.043,51,reviewed,us,us
2020-03-10T11:13:48.478Z,1.171,-90.6425,10,5.6,mww,,76,10.242,0.6,us,us60008d3z,2020-05-23T22:03:10.040Z,"214 km N of Puerto Ayora, Ecuador",earthquake,11.1,1.9,0.047,44,reviewed,us,us
2020-03-05T06:57:41.361Z,-28.4189,-67.4978,105.86,5.5,mww,,28,2.14,1.05,us,us600089zt,2020-05-23T22:03:16.040Z,"39 km S of Tinogasta, Argentina",earthquake,5.7,3.9,0.04,60,reviewed,us,us
2020-02-22T23:12:36.918Z,-38.1463,-93.7502,10,5.5,mww,,20,15.895,0.62,us,us70007uy4,2020-05-09T21:41:12.040Z,"West Chile Rise",earthquake,9.6,1.7,0.041,56,reviewed,us,us
2020-01-28T18:16:44.073Z,-30.2403,-72.3456,7.45,5.5,mww,,87,0.75,0.77,us,us60007ibj,2020-04-11T18:21:03.040Z,"102 km WSW of Coquimbo, Chile",earthquake,4.3,3.1,0.046,46,reviewed,us,us
2020-01-24T05:13:49.880Z,-17.3895,-71.0157,82.32,5.3,mww,,125,1.167,1.02,us,us60007efq,2020-04-11T18:20:43.040Z,"21 km SSW of San Antonio, Peru",earthquake,7.5,4.9,0.049,40,reviewed,us,us
2020-01-23T21:11:28.824Z,-26.9878,-63.3514,554.37,5.5,mww,,22,5.16,0.65,us,us60007e4x,2020-04-11T18:20:42.040Z,"12 km WNW of El Hoyo, Argentina",earthquake,7.9,3.8,0.054,33,reviewed,us,us
2020-01-15T14:39:32.618Z,-32.9458,-68.5569,39.97,4.5,mwr,,41,1.399,0.69,us,us7000708k,2022-03-10T05:00:13.036Z,"17 km NNW of San Martín, Argentina",earthquake,6.9,6,0.045,47,reviewed,us,us
2020-01-15T09:45:18.483Z,-10.3544,-78.5911,36.03,5.4,mww,,63,2.362,0.95,us,us7000704a,2020-04-08T19:40:10.040Z,"57 km WSW of Huarmey, Peru",earthquake,7.7,4.3,0.066,22,reviewed,us,us
2020-01-09T17:15:03.796Z,-56.0431,-26.7177,35,5,mww,,34,5.871,0.84,us,us70006x0w,2020-04-02T21:27:59.040Z,"South Sandwich Islands region",earthquake,9.9,1.8,0.103,9,reviewed,us,us
2020-01-03T15:28:54.137Z,11.7392,-86.2862,106.87,5.5,mww,,74,0.408,1.1,us,us70006u7m,2020-03-21T17:13:16.040Z,"7 km W of Santa Teresa, Nicaragua",earthquake,6.5,3,0.044,50,reviewed,us,us
2019-12-24T19:19:03.273Z,3.4502,-74.1034,10,5.7,mww,,51,1.402,0.7,us,us70006qp1,2020-07-10T17:56:24.797Z,"9 km NW of Mesetas, Colombia",earthquake,7.1,1.7,0.046,46,reviewed,us,us
2019-12-24T19:03:52.492Z,3.5359,-74.0176,11,6,mww,,36,1.335,0.68,us,us70006qnn,2022-03-27T00:21:57.104Z,"1 km NE of Lejanías, Colombia",earthquake,6.5,1.7,0.041,58,reviewed,us,us
2019-12-24T16:43:33.420Z,-26.964,-63.3857,572.44,6,mww,,31,5.13,0.93,us,us70006qk4,2021-02-27T19:53:04.130Z,"16 km WNW of El Hoyo, Argentina",earthquake,9.1,3,0.04,61,reviewed,us,us
2019-12-18T04:44:14.540Z,-41.1916,-89.1878,10,5.4,mww,,120,11.156,0.95,us,us60006t11,2020-03-07T17:47:29.040Z,"southeast of Easter Island",earthquake,10.9,1.8,0.051,37,reviewed,us,us
2019-12-03T08:46:35.780Z,-18.5042,-70.576,38,6,mww,,82,0.258,1.38,us,us70006fh7,2020-07-10T17:55:35.215Z,"29 km W of Arica, Chile",earthquake,5.5,1.9,0.071,19,reviewed,us,us
2019-12-03T07:29:30.471Z,-20.9138,-70.7619,10,5.3,mww,,95,0.577,1.25,us,us70006fh0,2020-02-29T19:52:55.040Z,"100 km SW of Iquique, Chile",earthquake,4.2,1.7,0.058,29,reviewed,us,us
2019-11-19T23:10:40.570Z,-33.6399,-66.8723,10,5.7,mww,,21,2.333,0.86,us,us70006a4q,2021-02-06T20:49:24.935Z,"62 km SW of San Luis, Argentina",earthquake,6.1,1.7,0.045,48,reviewed,us,us
